,Tweets,len,ID,Date,Source,Likes,RTs
0,🔥 Promo #Disneyland #Paris  : jusqu'à 35% de réduction sur le #séjour avec #enfant #gratuit et #réduction sur le billet #adulte sur  https://t.co/9LfnAKXjuD #Mickey  #Disney #Parc #Attraction #Vacances #Famille #Enfant #Promo #Marvel  #StarWars #Magie #Festival https://t.co/jra3qOgcEn,285,1092750731466231809,2019-02-05 11:44:11,Twitter Web Client,0,0
1,"RT @salles_obscures: Découverte Nouveautés #Marvel @Marvelfr @Disneyfr (@ The Walt Disney Company in Paris, Île-de-France) https://t.co/1IR…",140,1092323944852570113,2019-02-04 07:28:17,Twitter Web Client,0,14
2,"[ HÔTEL DISNEYLAND PARIS ]
Le travail est en cours au Disney Hotel New York: The Art of Marvel ! Qui est excité pour cette transformation épique?
°0°Phélie",155,1091064977706885120,2019-01-31 20:05:36,Facebook,0,0
3,"°0° Disney's Hotel New York °0°
Des palissades aux couleurs @Marvel ont fait leurs apparition autours de Disney's Hotel New York.
Crédit Disneyland Paris (Twitter)",163,1091033899013234688,2019-01-31 18:02:06,Facebook,0,0
4,"HÔTELS | L'installation de palissades thêmées sur l’univers Marvel est actuellement en cours autour du Disney's Hotel New York !

📷 Disneyland Paris",148,1090565865102299137,2019-01-30 11:02:18,Facebook,0,0
5,"RT @IGNFRA: Marvel, Star Wars... Les licences, bourreaux de la créativité à Disneyland Paris ? @JohanSouply est l'invité du podcast Disney…",139,1089943445450485762,2019-01-28 17:49:02,Twitter for iPhone,0,4
6,"RT @IGNFRA: Marvel, Star Wars... Les licences, bourreaux de la créativité à Disneyland Paris ? @JohanSouply est l'invité du podcast Disney…",139,1089937120549105665,2019-01-28 17:23:54,Twitter for Android,0,4
7,"RT @IGNFRA: Marvel, Star Wars... Les licences, bourreaux de la créativité à Disneyland Paris ? @JohanSouply est l'invité du podcast Disney…",139,1089933271805259776,2019-01-28 17:08:36,Twitter for iPad,0,4
8,"RT @IGNFRA: Marvel, Star Wars... Les licences, bourreaux de la créativité à Disneyland Paris ? @JohanSouply est l'invité du podcast Disney…",139,1089933107552239624,2019-01-28 17:07:57,Twitter for Android,0,4
9,"Marvel, Star Wars... Les licences, bourreaux de la créativité à Disneyland Paris ? @JohanSouply est l'invité du podcast Disney @RienQueDyPenser ce mois-ci pour parler du futur ""décevant"" du parc
https://t.co/F08Oaf27jF https://t.co/iACA4BlQA5",242,1089931861701189632,2019-01-28 17:03:00,TweetDeck,8,4
